Waktu,PM10,PM25,SO2,CO,O3,NO2,HC,Kelembaban,Suhu
2022-08-01,55,49,41,39,50,18,15,69,27
2022-08-02,69,62,9,17,67,20,5,70,28
2022-08-03,88,81,15,51,34,4,23,77,27
2022-08-04,52,48,21,32,24,48,12,82,26
2022-08-05,37,33,4,80,7,9,24,76,27
2022-08-06,42,38,35,760,32,35,180,77,26
2022-08-07,25,23,21,52,3,6,17,75,26
2022-08-08,24,20,30,18,63,32,10,70,27
2022-08-09,40,35,18,59,25,51,22,72,27
2022-08-10,45,41,43,21,47,178,10,76,26
2022-08-11,37,34,27,62,63,36,7,80,26
2022-08-12,28,25,18,37,18,47,21,83,26
2022-08-13,24,22,5,47,6,9,9,81,25
2022-08-14,21,19,16,50,14,26,14,77,26
2022-08-15,20,18,15,60,49,17,7,78,26
2022-08-16,45,40,19,44,21,42,8,85,25
2022-08-17,33,30,41,29,12,324,21,78,27
2022-08-18,22,18,19,5,5,21,10,67,27
2022-08-19,28,24,15,20,24,20,8,68,28
2022-08-20,26,23,2,16,18,25,5,69,28
2022-08-21,24,21,5,94,31,129,22,76,26
2022-08-22,48,44,22,226,55,204,54,85,25
2022-08-23,62,57,22,272,39,4,37,77,27
2022-08-24,50,45,17,92,6,2,20,76,27
2022-08-25,40,35,25,429,2,50,13,72,27
2022-08-26,56,51,44,461,15,41,11,76,26
2022-08-27,44,40,24,355,4,92,8,81,26
2022-08-28,28,25,17,225,5,76,13,83,25
2022-08-29,29,26,47,579,18,37,5,80,25
2022-08-30,44,41,40,771,4,30,15,77,26
2022-08-31,71,63,14,386,19,29,5,73,27
2022-09-01,67,61,19,596,2,10,8,74,27
2022-09-02,42,38,26,829,17,22,23,75,27
2022-09-03,29,24,57,1618,77,89,76,78,26
2022-09-04,16,15,23,860,131,154,39,77,26
2022-09-05,48,43,46,1268,35,65,26,76,27
2022-09-06,35,31,28,1294,37,30,45,78,27
2022-09-07,42,39,40,1353,40,36,24,85,26
2022-09-08,36,33,42,1401,25,40,24,89,24
2022-09-09,43,37,39,1310,47,51,53,85,24
2022-09-10,28,25,39,1329,52,57,66,87,25
2022-09-11,19,17,37,1255,54,52,60,81,26
2022-09-12,18,16,38,1313,46,40,59,83,26
2022-09-13,24,22,34,1226,42,45,48,78,26
2022-09-14,42,37,33,1286,19,31,17,69,27
2022-09-15,40,37,31,1274,18,30,17,73,27
2022-09-16,28,25,33,1232,19,31,18,81,25
2022-09-17,27,24,33,1268,19,30,18,79,26
2022-09-18,36,33,32,1272,18,31,16,74,27
2022-09-19,27,24,32,1258,18,30,17,73,27
2022-09-20,25,22,33,1224,19,29,19,76,26
2022-09-21,25,22,25,1364,16,28,9,77,27
2022-09-22,26,23,22,1279,15,31,11,79,26
2022-09-23,31,27,22,1289,13,30,7,76,27
2022-09-28,37,34,22,542,4,40,68,85,25
2022-09-29,33,29,22,528,4,34,17,71,28
2022-09-30,27,23,22,473,4,32,17,68,28
2022-10-01,25,22,23,537,4,29,17,78,26
2022-10-02,18,16,29,685,4,25,13,84,25
2022-10-03,21,18,57,855,4,16,6,79,26
2022-10-04,19,17,53,805,4,14,8,85,25
2022-10-05,19,17,54,806,4,14,9,81,26
2022-10-06,23,20,53,677,16,14,10,81,26
2022-10-07,15,14,41,526,22,14,14,88,24
2022-10-08,11,10,37,506,23,14,13,80,25
2022-10-09,14,12,46,582,23,15,11,80,26
2022-10-10,32,29,51,654,23,15,12,79,26
2022-10-11,18,16,47,548,23,15,13,82,25
2022-10-12,21,19,38,554,22,15,14,85,25
2022-10-13,18,16,38,511,23,15,15,85,25
2022-10-14,12,11,44,520,22,15,14,80,26
2022-10-15,11,10,42,471,23,14,14,79,26
2022-10-16,31,29,34,577,24,15,13,78,27
2022-10-17,31,28,36,589,24,16,13,78,27
2022-10-18,25,22,30,547,24,14,15,88,25
2022-10-19,26,23,26,586,24,15,16,89,25
2022-10-20,29,26,25,564,23,15,16,89,25
2022-10-21,17,14,25,479,23,15,16,83,25
2022-10-22,17,15,33,549,24,16,13,78,27
2022-10-23,12,10,34,510,24,16,14,80,27
2022-10-24,9,8,27,455,24,17,16,79,26
2022-10-25,8,6,25,496,24,16,15,80,26
2022-10-26,9,7,25,523,24,16,15,79,26
2022-10-27,12,10,26,494,24,15,15,71,27
2022-10-28,11,8,30,505,25,16,14,63,28
2022-10-29,8,7,31,505,25,17,14,65,28
2022-10-30,12,11,33,590,26,17,13,63,28
2022-10-31,20,17,34,639,26,17,13,70,28
2022-11-01,24,22,35,663,26,17,13,73,27
2022-11-02,22,19,34,669,26,17,13,75,27
2022-11-03,24,21,29,746,25,17,14,85,25
2022-11-04,20,17,19,552,25,17,16,80,26
2022-11-05,16,14,15,539,23,17,17,84,25
2022-11-06,21,19,16,563,23,15,16,77,27
2022-11-07,32,30,15,559,22,14,17,83,26
2022-11-08,28,25,15,750,22,15,16,83,25
2022-11-09,18,16,15,604,21,15,18,83,25
2022-11-10,12,10,18,537,20,13,20,83,25
2022-11-11,7,6,19,435,20,13,20,79,26
2022-11-12,13,12,17,536,20,13,20,85,25
2022-11-13,19,17,16,624,20,13,19,84,25
2022-11-14,30,27,21,780,101,65,18,80,27
2022-11-15,21,19,22,694,117,63,19,79,26
2022-11-16,27,24,21,716,117,63,19,76,27
2022-11-17,20,18,24,643,128,67,20,84,25
2022-11-18,9,8,23,586,122,64,20,78,26
2022-11-19,13,11,22,605,121,61,19,75,26
2022-11-20,7,6,23,527,120,58,20,70,27
2022-11-21,12,11,24,525,123,59,20,74,26
2022-11-22,9,8,23,514,119,59,20,72,27
2022-11-23,9,9,24,509,122,60,20,74,27
2022-11-24,8,7,25,502,129,64,20,81,25
2022-11-25,32,28,23,610,130,60,20,78,26
2022-11-26,29,27,24,589,128,59,20,76,27
2022-11-27,83,34,23,646,125,62,19,74,27
2022-11-28,22,33,25,567,127,59,20,80,26
2022-11-29,26,17,24,569,125,59,20,73,27
2022-11-30,20,18,25,556,130,61,20,78,26
2022-12-01,18,21,24,572,128,62,20,78,26
2022-12-02,31,28,24,583,127,62,20,80,26
2022-12-03,18,16,24,554,128,58,20,76,26
2022-12-04,22,15,23,602,131,63,20,83,25
2022-12-05,16,14,24,553,131,62,20,83,25
2022-12-06,61,26,23,585,132,65,20,85,25
2022-12-07,31,27,23,569,131,66,20,86,25
2022-12-08,26,24,24,580,132,70,20,87,25
2022-12-09,20,18,23,594,134,68,20,86,24
2022-12-10,81,38,24,537,132,65,20,71,27
2022-12-11,24,25,23,522,130,67,20,72,27
2022-12-12,25,23,23,564,133,67,20,81,25
2022-12-13,34,32,24,541,134,69,20,82,25
2022-12-14,39,36,23,529,131,69,20,74,27
2022-12-15,46,36,23,550,127,68,20,69,28
2022-12-16,57,53,29,608,100,105,20,73,27
2022-12-17,66,61,32,631,89,124,20,75,27
2022-12-18,23,20,33,658,88,122,20,80,26
2022-12-19,36,33,33,627,87,121,20,76,27
2022-12-20,45,41,32,587,86,106,20,76,27
2022-12-21,24,21,34,563,88,119,20,82,26
2022-12-22,24,21,35,467,91,122,21,75,26
2022-12-23,24,21,35,491,92,120,21,81,25
2022-12-24,30,27,35,506,91,113,21,76,26
2022-12-25,12,10,36,477,92,114,21,87,24
2022-12-26,11,10,35,531,93,120,21,90,24
2022-12-27,12,10,35,519,80,100,20,84,24
2022-12-28,11,10,36,490,47,41,21,88,23
2022-12-29,7,6,36,501,47,41,21,90,24
2022-12-30,17,15,36,549,46,42,21,90,24
2022-12-31,19,17,35,562,47,41,21,89,24
2023-01-01,8,7,37,437,46,40,21,81,25
2023-01-02,9,8,36,447,45,42,21,83,25
2023-01-03,7,7,37,434,46,42,21,85,24
2023-01-04,13,12,36,456,45,41,21,79,25
2023-01-05,20,17,35,487,44,40,21,76,26
2023-01-06,8,7,35,461,42,39,20,66,28
2023-01-07,8,7,34,463,42,39,20,69,28
2023-01-08,13,12,35,520,44,41,20,80,25
2023-01-09,15,13,33,528,41,36,20,73,27
2023-01-10,14,13,35,503,41,34,20,72,28
2023-01-11,17,15,35,489,43,36,20,66,28
2023-01-12,33,30,33,551,42,35,20,67,28
2023-01-13,22,20,34,530,44,36,21,76,26
2023-01-14,17,16,34,505,45,36,21,69,28
2023-01-15,19,16,34,494,44,40,21,71,28
2023-01-16,18,14,34,472,44,36,21,73,27
2023-01-17,30,27,35,491,46,37,21,81,25
2023-01-18,44,39,32,1108,37,39,18,82,25
2023-01-19,45,41,21,1615,28,40,15,81,25
2023-01-20,23,21,16,1332,24,34,17,79,25
2023-01-21,15,13,15,1234,17,26,17,75,26
2023-01-22,12,11,15,1256,16,23,17,77,26
2023-01-23,10,9,17,1251,15,24,17,82,25
2023-01-24,19,16,15,1262,15,22,17,79,26
2023-01-25,9,8,18,1335,17,24,15,88,23
2023-01-26,20,18,18,1393,16,21,16,73,26
2023-01-27,46,42,20,1604,19,21,14,80,26
2023-01-28,26,24,31,2098,20,21,12,91,24
2023-01-29,24,22,26,1739,17,20,13,85,25
2023-01-30,44,37,21,1589,16,21,14,80,26
